DEPTH,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,Cluster,Vshale,Porosity
1412.977,8.64,27.149,3.35,102.127,61.344,1.6,30.86,0.503,18.585,115.415,0.034,2.181,1,0.1685615925759617,0.2842424242424242
1413.053,8.641,27.808,3.349,101.751,59.814,1.547,30.042,0.519,18.03,115.056,0.043,2.187,1,0.15940128723245023,0.2806060606060607
1413.129,8.642,28.193,3.348,101.177,57.595,1.516,29.861,0.509,17.665,114.729,0.036,2.191,1,0.14611585092052087,0.27818181818181825
1413.205,8.643,28.16,3.347,100.582,55.084,1.501,30.201,0.481,17.424,114.442,0.055,2.181,1,0.13108217332734623,0.2842424242424242
1413.281,8.643,28.007,3.346,100.145,51.742,1.509,30.83,0.463,17.188,114.197,0.006,2.167,1,0.11107319263583296,0.2927272727272728
1413.358,8.642,27.885,3.345,99.943,48.793,1.585,31.393,0.467,16.821,113.992,0.016,2.151,1,0.09341715312079031,0.3024242424242425
1413.434,8.64,27.636,3.344,99.959,47.83,1.547,31.481,0.475,16.221,113.817,0.034,2.156,1,0.08765154916928604,0.29939393939393927
1413.51,8.639,26.835,3.343,100.153,48.844,1.531,30.765,0.455,15.352,113.662,0.047,2.16,1,0.0937224966322407,0.29696969696969683
1413.586,8.638,25.214,3.342,100.493,50.561,1.539,29.121,0.405,14.266,113.514,0.04,2.168,1,0.10400239485107021,0.292121212121212
1413.662,8.638,24.052,3.341,100.919,51.036,1.571,26.681,0.356,13.086,113.363,0.032,2.172,1,0.10684628049693161,0.28969696969696956
1413.739,8.639,24.219,3.34,101.34,49.59,1.534,23.783,0.324,11.955,113.209,0.044,2.18,1,0.09818889387816199,0.28484848484848474
1413.815,8.641,24.795,3.339,101.705,47.418,1.508,20.86,0.308,10.992,113.056,0.074,2.186,1,0.085184852566981,0.2812121212121212
1413.891,8.643,24.976,3.338,102.011,46.929,1.542,18.3,0.301,10.265,112.915,0.029,2.178,1,0.08225714713366265,0.28606060606060607
1413.967,8.644,24.904,3.337,102.209,48.509,1.571,16.35,0.295,9.777,112.797,0.049,2.18,1,0.09171680886094898,0.28484848484848474
1414.043,8.646,25.158,3.336,102.168,50.887,1.539,15.003,0.294,9.492,112.709,0.052,2.192,1,0.10595419847328245,0.2775757575757574
1414.12,8.646,25.747,3.335,101.812,53.661,1.519,14.145,0.298,9.357,112.647,0.06,2.206,1,0.12256249064511303,0.2690909090909091
1414.196,8.645,26.46,3.334,101.258,56.433,1.508,13.627,0.308,9.324,112.592,0.029,2.219,1,0.13915880856159257,0.26121212121212123
1414.272,8.644,27.096,3.333,100.783,59.122,1.494,13.33,0.319,9.342,112.51,0.001,2.223,1,0.15525819488100584,0.25878787878787884
1414.348,8.643,27.382,3.332,100.526,60.811,1.658,13.146,0.327,9.353,112.354,0.066,2.221,1,0.16537045352492144,0.2599999999999999
1414.424,8.642,27.386,3.331,100.275,60.651,1.82,12.958,0.33,9.295,112.073,0.031,2.214,1,0.16441251309684182,0.2642424242424242
1414.501,8.642,26.579,3.33,99.823,58.737,1.97,12.655,0.333,9.114,111.621,0.062,2.216,1,0.15295315072593926,0.2630303030303029
1414.577,8.643,25.431,3.329,99.437,55.868,1.996,12.179,0.334,8.786,110.97,0.068,2.221,1,0.1357760814249364,0.2599999999999999
1414.653,8.645,24.976,3.328,99.603,53.484,2.034,11.537,0.327,8.322,110.111,0.086,2.22,1,0.12150276904654994,0.26060606060606045
1414.729,8.645,25.419,3.327,100.296,52.717,2.194,10.796,0.32,7.768,109.059,0.106,2.217,1,0.1169106421194432,0.26242424242424234
1414.805,8.644,26.286,3.326,100.675,53.937,2.361,10.062,0.324,7.187,107.848,0.063,2.231,1,0.12421493788355036,0.25393939393939396
1414.882,8.642,26.477,3.325,99.771,56.641,2.863,9.43,0.343,6.649,106.522,0.08,2.267,1,0.1404041311180961,0.23212121212121214
1414.958,8.64,25.803,3.324,97.562,59.722,3.536,8.934,0.374,6.189,105.129,0.032,2.326,1,0.15885047148630446,0.19636363636363627
1415.034,8.639,25.01,3.323,95.129,61.863,4.576,8.535,0.412,5.808,103.713,0.109,2.424,1,0.171668911839545,0.13696969696969696
1415.11,8.639,24.7,3.322,93.654,63.458,5.148,8.149,0.451,5.482,102.313,0.184,2.514,1,0.1812183804819638,0.0824242424242425
1415.186,8.639,25.239,3.321,93.557,66.096,5.201,7.702,0.493,5.181,100.958,0.2,2.592,1,0.19701242328992669,0.03515151515151505
1415.263,8.64,26.861,3.32,94.514,72.07,4.353,7.174,0.552,4.895,99.669,-0.032,2.569,1,0.23277952402334975,0.04909090909090907
1415.339,8.641,29.864,3.319,95.942,81.56,4.344,6.605,0.668,4.643,98.464,0.018,2.541,3,0.2895973656638228,0.06606060606060606
1415.415,8.642,33.955,3.318,97.55,92.747,4.407,6.068,0.93,4.451,97.355,0.041,2.488,3,0.35657536296961534,0.09818181818181813
1415.491,8.643,37.177,3.317,99.489,102.344,4.209,5.622,1.519,4.336,96.351,0.008,2.447,3,0.4140338272713665,0.12303030303030295
1415.567,8.644,37.43,3.316,102.042,108.163,3.985,5.293,2.496,4.292,95.458,0.032,2.436,3,0.44887292321508754,0.12969696969696967
1415.644,8.645,35.977,3.315,105.435,111.083,3.352,5.06,3.049,4.289,94.68,0.014,2.431,3,0.46635533602754076,0.13272727272727264
1415.72,8.647,35.268,3.314,109.471,110.572,2.973,4.877,3.203,4.287,94.017,0.004,2.429,3,0.4632959137853615,0.133939393939394
1415.796,8.649,35.677,3.313,113.265,106.878,2.494,4.707,3.623,4.255,93.467,0.011,2.418,3,0.44117946415207304,0.14060606060606046
1415.872,8.649,36.026,3.312,115.828,101.991,2.592,4.536,4.067,4.179,93.025,-0.001,2.398,3,0.4119203712019159,0.1527272727272726
1415.948,8.648,35.705,3.311,117.005,97.962,2.663,4.352,4.053,4.057,92.682,0.015,2.371,3,0.38779823379733575,0.16909090909090904
1416.025,8.646,35.591,3.31,117.664,94.806,2.926,4.153,3.572,3.896,92.423,0.046,2.362,3,0.368902858853465,0.17454545454545445
1416.101,8.643,36.161,3.309,118.887,92.248,3.801,3.94,3.002,3.706,92.237,0.051,2.364,3,0.353587786259542,0.17333333333333337
1416.177,8.64,36.214,3.308,120.92,89.941,4.823,3.722,2.624,3.506,92.11,0.08,2.407,3,0.33977548271216884,0.14727272727272722
1416.253,8.639,34.921,3.307,122.753,87.167,5.916,3.522,2.448,3.312,92.038,0.16,2.461,3,0.32316719054033827,0.11454545454545459
1416.329,8.641,33.427,3.306,123.075,84.399,5.635,3.36,2.386,3.146,92.019,0.127,2.498,3,0.3065948211345607,0.09212121212121194
1416.406,8.643,33.071,3.305,121.577,81.585,4.429,3.247,2.369,3.021,92.053,0.041,2.512,3,0.2897470438557102,0.08363636363636358
1416.482,8.646,34.994,3.304,119.045,79.908,3.536,3.19,2.384,2.946,92.145,-0.04,2.486,3,0.2797066307439006,0.09939393939393922
1416.558,8.646,39.831,3.303,116.555,81.008,2.863,3.184,2.439,2.922,92.295,-0.106,2.465,3,0.28629247118694806,0.11212121212121216
1416.634,8.646,44.361,3.302,114.616,84.946,2.657,3.221,2.53,2.941,92.504,0.03,2.437,3,0.3098697799730579,0.12909090909090915
1416.71,8.644,45.282,3.301,113.036,90.06,2.48,3.286,2.631,2.992,92.77,0.072,2.412,3,0.34048795090555306,0.14424242424242426
1416.787,8.644,42.625,3.3,111.544,95.07,2.578,3.363,2.721,3.058,93.086,0.024,2.384,3,0.3704834605597964,0.16121212121212122
1416.863,8.645,39.736,3.299,110.456,99.388,2.695,3.443,2.765,3.124,93.436,-0.01,2.376,3,0.39633587786259544,0.16606060606060608
1416.939,8.646,38.921,3.298,110.333,102.547,2.927,3.522,2.757,3.185,93.795,-0.002,2.374,3,0.41524921418949257,0.16727272727272716
1417.015,8.648,39.411,3.297,111.167,105.422,3.281,3.602,2.736,3.242,94.136,-0.015,2.379,3,0.4324622062565484,0.1642424242424242
1417.091,8.65,38.733,3.296,112.28,109.516,3.443,3.689,2.758,3.3,94.43,0.037,2.381,3,0.45697350696003597,0.1630303030303031
1417.168,8.651,35.745,3.295,112.969,114.577,3.464,3.792,2.848,3.369,94.656,0.019,2.384,3,0.48727436012572967,0.16121212121212122
1417.244,8.651,33.2,3.294,113.097,117.456,3.446,3.915,2.962,3.454,94.8,0.015,2.379,3,0.5045113007034875,0.1642424242424242
